,centries,titles,authors,scores,votes,website,average rating,times rated
16348,20th,Eva Luna,Isabel Allende,39,1,https://www.goodreads.com/book/show/149196.Eva_Luna,3.99,46036.0
16349,20th,Art and Anarchy,Edgar Wind,39,1,https://www.goodreads.com/book/show/225413.Art_and_Anarchy,3.97,65.0
16350,20th,Sleepless Nights,Elizabeth Hardwick,39,1,https://www.goodreads.com/book/show/347413.Sleepless_Nights,3.72,2613.0
16351,20th,"Witches, Midwives, and Nurses: A History of Women Healers",Barbara Ehrenreich,39,1,https://www.goodreads.com/book/show/7786503-witches-midwives-and-nurses,4.02,3793.0
16352,20th,The Day of the Owl,Leonardo Sciascia,39,1,https://www.goodreads.com/book/show/130219.The_Day_of_the_Owl,3.78,10270.0
16353,20th,Apocryphal Tales,Karel Čapek,39,1,https://www.goodreads.com/book/show/33413.Apocryphal_Tales,4.04,622.0
16354,20th,The History Man,Malcolm Bradbury,39,2,https://www.goodreads.com/book/show/11182674-the-history-man,3.61,1696.0
16355,20th,Dada: Art and Anti-Art,Hans Richter,39,1,https://www.goodreads.com/book/show/500612.Dada,4.25,587.0
16356,20th,Metamorfoza: integrala prozei antume,Franz Kafka,39,1,https://www.goodreads.com/book/show/35169977-metamorfoza,4.08,221.0
16357,20th,The Three Hostages (Richard Hannay #4),John Buchan,39,1,https://www.goodreads.com/book/show/144395.The_Three_Hostages,3.81,1040.0
16358,20th,A Book of Traveller's Tales,Eric Newby,39,1,https://www.goodreads.com/book/show/17310005-a-book-of-traveller-s-tales,3.95,182.0
16359,20th,Greek Gods and Heroes,Robert Graves,38,2,https://www.goodreads.com/book/show/324325.Greek_Gods_and_Heroes,3.75,1295.0
16360,20th,Os sapatos de Orfeu: Biografia de Carlos Drummond de Andrade,José Maria Cançado,38,1,https://www.goodreads.com/book/show/570097.Os_sapatos_de_Orfeu,4.27,11.0
16361,20th,Homo Zapiens,Victor Pelevin,38,1,https://www.goodreads.com/book/show/337672.Homo_Zapiens,3.86,5177.0
16362,20th,Dancing Shoes,Noel Streatfeild,38,1,https://www.goodreads.com/book/show/3783.Dancing_Shoes,4.08,5236.0
16363,20th,Mefisto,John Banville,38,1,https://www.goodreads.com/book/show/914242.Mefisto,3.69,493.0
16364,20th,Through the Heart,Richard Grant,38,1,https://www.goodreads.com/book/show/478475.Through_the_Heart,3.63,67.0
